epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,343.062,1.17489,3.60939,1.27609,0.14413,0.2009,0.11887,0.09318,0.98113,3.4519,1.16377,0.00110804,0.000369346,0.00110804,0.000369346,0.00110804,0.000369346,0.00110804,0.000369346
2,636.997,1.13492,2.74734,1.21134,0.21893,0.29065,0.18231,0.14085,0.96722,2.85233,1.10761,0.0021751,0.000725033,0.0021751,0.000725033,0.0021751,0.000725033,0.0021751,0.000725033
3,931.464,1.11117,2.34018,1.1732,0.27464,0.28208,0.22133,0.17278,0.95364,2.57986,1.12727,0.00319817,0.00106606,0.00319817,0.00106606,0.00319817,0.00106606,0.00319817,0.00106606
4,1193.43,1.08483,2.14826,1.16457,0.31204,0.34455,0.28117,0.22804,0.93248,2.42845,1.10447,0.00313502,0.00104501,0.00313502,0.00104501,0.00313502,0.00104501,0.00313502,0.00104501
5,1456.23,1.06574,1.98611,1.14538,0.31643,0.34892,0.29414,0.23195,0.96246,2.26326,1.14259,0.00306903,0.00102301,0.00306903,0.00102301,0.00306903,0.00102301,0.00306903,0.00102301
6,1721.3,1.06155,1.86562,1.13768,0.43295,0.28414,0.29726,0.23988,0.95079,2.19461,1.11374,0.00300303,0.00100101,0.00300303,0.00100101,0.00300303,0.00100101,0.00300303,0.00100101
7,1988.51,1.03582,1.77822,1.1194,0.40216,0.31685,0.31665,0.25806,0.9433,2.28886,1.11243,0.00293704,0.000979013,0.00293704,0.000979013,0.00293704,0.000979013,0.00293704,0.000979013
8,2246.16,1.0388,1.70064,1.12286,0.42532,0.3547,0.3382,0.27622,0.9368,2.08134,1.10699,0.00287105,0.000957015,0.00287105,0.000957015,0.00287105,0.000957015,0.00287105,0.000957015
9,2504.08,1.02416,1.6354,1.11695,0.45567,0.30933,0.34234,0.28171,0.91583,1.91605,1.09574,0.00280505,0.000935018,0.00280505,0.000935018,0.00280505,0.000935018,0.00280505,0.000935018
10,2763.98,1.02307,1.57286,1.10793,0.36865,0.38042,0.32468,0.26234,0.93813,1.94818,1.10424,0.00273906,0.00091302,0.00273906,0.00091302,0.00273906,0.00091302,0.00273906,0.00091302
11,3027.27,0.99934,1.51661,1.10107,0.43787,0.34873,0.3396,0.27422,0.92539,1.82178,1.09241,0.00267307,0.000891022,0.00267307,0.000891022,0.00267307,0.000891022,0.00267307,0.000891022
12,3288.74,1.01586,1.49179,1.10596,0.46668,0.33648,0.35302,0.29145,0.90279,1.77602,1.09436,0.00260707,0.000869024,0.00260707,0.000869024,0.00260707,0.000869024,0.00260707,0.000869024
13,3547.17,1.00206,1.42598,1.0983,0.45733,0.35517,0.34958,0.28177,0.92268,1.80298,1.09891,0.00254108,0.000847026,0.00254108,0.000847026,0.00254108,0.000847026,0.00254108,0.000847026
14,3805.68,0.98486,1.39259,1.09151,0.43864,0.33345,0.34603,0.2886,0.90144,1.77886,1.08772,0.00247509,0.000825029,0.00247509,0.000825029,0.00247509,0.000825029,0.00247509,0.000825029
15,4069.17,0.97463,1.35317,1.08769,0.4278,0.37002,0.35302,0.29071,0.93179,1.72777,1.09964,0.00240909,0.000803031,0.00240909,0.000803031,0.00240909,0.000803031,0.00240909,0.000803031
16,4328.52,0.97305,1.32951,1.08499,0.47512,0.35503,0.35898,0.29774,0.92272,1.70744,1.09089,0.0023431,0.000781033,0.0023431,0.000781033,0.0023431,0.000781033,0.0023431,0.000781033
17,4588.14,0.96737,1.3024,1.08066,0.47638,0.32553,0.3477,0.28387,0.91778,1.71291,1.0861,0.00227711,0.000759035,0.00227711,0.000759035,0.00227711,0.000759035,0.00227711,0.000759035
18,4852.41,0.97048,1.28567,1.07613,0.51923,0.33221,0.35866,0.29912,0.90002,1.68138,1.08311,0.00221111,0.000737037,0.00221111,0.000737037,0.00221111,0.000737037,0.00221111,0.000737037
19,5110.94,0.96211,1.24451,1.07741,0.44518,0.35821,0.34995,0.29046,0.906,1.68963,1.07995,0.00214512,0.00071504,0.00214512,0.00071504,0.00214512,0.00071504,0.00214512,0.00071504
20,5370.9,0.95664,1.23013,1.07614,0.48609,0.3337,0.36582,0.30458,0.89936,1.64149,1.08218,0.00207913,0.000693042,0.00207913,0.000693042,0.00207913,0.000693042,0.00207913,0.000693042
21,5633.87,0.96427,1.22863,1.07435,0.44112,0.34164,0.35372,0.2924,0.90827,1.72189,1.07819,0.00201313,0.000671044,0.00201313,0.000671044,0.00201313,0.000671044,0.00201313,0.000671044
22,5892.26,0.93435,1.17376,1.06437,0.45848,0.34193,0.35481,0.29271,0.92696,1.64919,1.08719,0.00194714,0.000649046,0.00194714,0.000649046,0.00194714,0.000649046,0.00194714,0.000649046
23,6155.57,0.94775,1.17468,1.06613,0.48769,0.3559,0.35437,0.29207,0.89627,1.6133,1.08003,0.00188115,0.000627048,0.00188115,0.000627048,0.00188115,0.000627048,0.00188115,0.000627048
24,6415.97,0.94566,1.14476,1.06849,0.44702,0.37301,0.36913,0.30227,0.90186,1.5751,1.07118,0.00181515,0.000605051,0.00181515,0.000605051,0.00181515,0.000605051,0.00181515,0.000605051
25,6676.44,0.9352,1.12826,1.05916,0.49988,0.33613,0.35085,0.29454,0.90167,1.61598,1.08677,0.00174916,0.000583053,0.00174916,0.000583053,0.00174916,0.000583053,0.00174916,0.000583053
26,6940.56,0.93477,1.12028,1.06034,0.50988,0.33432,0.35819,0.29527,0.88534,1.59736,1.07147,0.00168316,0.000561055,0.00168316,0.000561055,0.00168316,0.000561055,0.00168316,0.000561055
27,7203.18,0.92163,1.09743,1.05504,0.51744,0.3368,0.35777,0.29926,0.89079,1.57866,1.08001,0.00161717,0.000539057,0.00161717,0.000539057,0.00161717,0.000539057,0.00161717,0.000539057
28,7463,0.91394,1.07023,1.05492,0.53429,0.31448,0.34301,0.28655,0.8896,1.61143,1.06926,0.00155118,0.000517059,0.00155118,0.000517059,0.00155118,0.000517059,0.00155118,0.000517059
29,7719.82,0.91921,1.06699,1.0541,0.48529,0.36022,0.36347,0.30298,0.87467,1.58497,1.07736,0.00148518,0.000495062,0.00148518,0.000495062,0.00148518,0.000495062,0.00148518,0.000495062
30,7981.17,0.91357,1.05988,1.05166,0.50744,0.37027,0.37343,0.30983,0.8766,1.55063,1.06859,0.00141919,0.000473064,0.00141919,0.000473064,0.00141919,0.000473064,0.00141919,0.000473064
31,8242.22,0.91257,1.03796,1.04763,0.47825,0.36395,0.35664,0.30069,0.88923,1.56326,1.07941,0.0013532,0.000451066,0.0013532,0.000451066,0.0013532,0.000451066,0.0013532,0.000451066
